map_id,title,manifest_url,image_service_url,area_sq_m,scale,bounds,center,viewer_url,editor_url,xyz_tile_url_arcgis,xyz_tile_url_standard,tilejson_url,annotation_url
6cf0957341b8141c,[Hubei Province],https://purl.stanford.edu/tw335jz1912/iiif/manifest,https://stacks.stanford.edu/image/iiif/tw335jz1912%2Ftw335jz1912_00_0001,18632926.29,1.25,"[114.158702, 30.564393, 114.210456, 30.599113]","[114.184579, 30.581753]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/6cf0957341b8141c,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Ftw335jz1912%252Ftw335jz1912_00_0001/info.json,https://allmaps.xyz/maps/6cf0957341b8141c/{level}/{col}/{row}.png,https://allmaps.xyz/maps/6cf0957341b8141c/{z}/{x}/{y}.png,https://allmaps.xyz/maps/6cf0957341b8141c/tiles.json,https://annotations.allmaps.org/maps/6cf0957341b8141c
7b85c06ba2761293,[Hubei Province],https://purl.stanford.edu/sp889yq9887/iiif/manifest,https://stacks.stanford.edu/image/iiif/sp889yq9887%2Fsp889yq9887_00_0001,17637681.12,1.29,"[114.360163, 30.566928, 114.408823, 30.602336]","[114.384493, 30.584632]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/7b85c06ba2761293,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fsp889yq9887%252Fsp889yq9887_00_0001/info.json,https://allmaps.xyz/maps/7b85c06ba2761293/{level}/{col}/{row}.png,https://allmaps.xyz/maps/7b85c06ba2761293/{z}/{x}/{y}.png,https://allmaps.xyz/maps/7b85c06ba2761293/tiles.json,https://annotations.allmaps.org/maps/7b85c06ba2761293
824e3c41df4f65b8,[Hubei Province],https://purl.stanford.edu/qf326mj7012/iiif/manifest,https://stacks.stanford.edu/image/iiif/qf326mj7012%2Fqf326mj7012_00_0001,18486026.45,1.26,"[114.35675, 30.533049, 114.409185, 30.567244]","[114.382968, 30.550147]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/824e3c41df4f65b8,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fqf326mj7012%252Fqf326mj7012_00_0001/info.json,https://allmaps.xyz/maps/824e3c41df4f65b8/{level}/{col}/{row}.png,https://allmaps.xyz/maps/824e3c41df4f65b8/{z}/{x}/{y}.png,https://allmaps.xyz/maps/824e3c41df4f65b8/tiles.json,https://annotations.allmaps.org/maps/824e3c41df4f65b8
8e44b63cf1482be9,[Hubei Province],https://purl.stanford.edu/nk288zm9373/iiif/manifest,https://stacks.stanford.edu/image/iiif/nk288zm9373%2Fnk288zm9373_00_0001,18081217.36,1.28,"[114.206515, 30.533334, 114.259629, 30.566583]","[114.233072, 30.549959]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/8e44b63cf1482be9,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fnk288zm9373%252Fnk288zm9373_00_0001/info.json,https://allmaps.xyz/maps/8e44b63cf1482be9/{level}/{col}/{row}.png,https://allmaps.xyz/maps/8e44b63cf1482be9/{z}/{x}/{y}.png,https://allmaps.xyz/maps/8e44b63cf1482be9/tiles.json,https://annotations.allmaps.org/maps/8e44b63cf1482be9
8e6a9331cdb6c35c,[Hubei Province],https://purl.stanford.edu/mm358jf9072/iiif/manifest,https://stacks.stanford.edu/image/iiif/mm358jf9072%2Fmm358jf9072_00_0001,19112504.83,1.24,"[114.207216, 30.499582, 114.258849, 30.535068]","[114.233032, 30.517325]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/8e6a9331cdb6c35c,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fmm358jf9072%252Fmm358jf9072_00_0001/info.json,https://allmaps.xyz/maps/8e6a9331cdb6c35c/{level}/{col}/{row}.png,https://allmaps.xyz/maps/8e6a9331cdb6c35c/{z}/{x}/{y}.png,https://allmaps.xyz/maps/8e6a9331cdb6c35c/tiles.json,https://annotations.allmaps.org/maps/8e6a9331cdb6c35c
911ce7e6c91fd7e9,[Hubei Province],https://purl.stanford.edu/jh813zr0039/iiif/manifest,https://stacks.stanford.edu/image/iiif/jh813zr0039%2Fjh813zr0039_00_0001,18049572.31,1.27,"[114.307068, 30.497326, 114.359826, 30.532394]","[114.333447, 30.51486]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/911ce7e6c91fd7e9,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fjh813zr0039%252Fjh813zr0039_00_0001/info.json,https://allmaps.xyz/maps/911ce7e6c91fd7e9/{level}/{col}/{row}.png,https://allmaps.xyz/maps/911ce7e6c91fd7e9/{z}/{x}/{y}.png,https://allmaps.xyz/maps/911ce7e6c91fd7e9/tiles.json,https://annotations.allmaps.org/maps/911ce7e6c91fd7e9
930e3f7336e6ffb3,[Hubei Province],https://purl.stanford.edu/gr910yf1308/iiif/manifest,https://stacks.stanford.edu/image/iiif/gr910yf1308%2Fgr910yf1308_00_0001,18415987.52,1.24,"[114.353754, 30.501199, 114.411845, 30.533328]","[114.3828, 30.517264]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/930e3f7336e6ffb3,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fgr910yf1308%252Fgr910yf1308_00_0001/info.json,https://allmaps.xyz/maps/930e3f7336e6ffb3/{level}/{col}/{row}.png,https://allmaps.xyz/maps/930e3f7336e6ffb3/{z}/{x}/{y}.png,https://allmaps.xyz/maps/930e3f7336e6ffb3/tiles.json,https://annotations.allmaps.org/maps/930e3f7336e6ffb3
9584fa3373f1e235,[Hubei Province],https://purl.stanford.edu/py572gd4891/iiif/manifest,https://stacks.stanford.edu/image/iiif/py572gd4891%2Fpy572gd4891_00_0001,21171131.76,1.18,"[114.352715, 30.599683, 114.409415, 30.636409]","[114.381065, 30.618046]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/9584fa3373f1e235,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fpy572gd4891%252Fpy572gd4891_00_0001/info.json,https://allmaps.xyz/maps/9584fa3373f1e235/{level}/{col}/{row}.png,https://allmaps.xyz/maps/9584fa3373f1e235/{z}/{x}/{y}.png,https://allmaps.xyz/maps/9584fa3373f1e235/tiles.json,https://annotations.allmaps.org/maps/9584fa3373f1e235
9cc8d3265d60125d,[Hubei Province],https://purl.stanford.edu/qw506jc4189/iiif/manifest,https://stacks.stanford.edu/image/iiif/qw506jc4189%2Fqw506jc4189_00_0001,19578673.89,1.21,"[114.30667, 30.632925, 114.360685, 30.667987]","[114.333677, 30.650456]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/9cc8d3265d60125d,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fqw506jc4189%252Fqw506jc4189_00_0001/info.json,https://allmaps.xyz/maps/9cc8d3265d60125d/{level}/{col}/{row}.png,https://allmaps.xyz/maps/9cc8d3265d60125d/{z}/{x}/{y}.png,https://allmaps.xyz/maps/9cc8d3265d60125d/tiles.json,https://annotations.allmaps.org/maps/9cc8d3265d60125d
ab0217cb106e2d40,[Hubei Province],https://purl.stanford.edu/dn832wd1438/iiif/manifest,https://stacks.stanford.edu/image/iiif/dn832wd1438%2Fdn832wd1438_00_0001,18906047.03,1.23,"[114.156455, 30.466487, 114.209549, 30.500887]","[114.183002, 30.483687]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/ab0217cb106e2d40,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fdn832wd1438%252Fdn832wd1438_00_0001/info.json,https://allmaps.xyz/maps/ab0217cb106e2d40/{level}/{col}/{row}.png,https://allmaps.xyz/maps/ab0217cb106e2d40/{z}/{x}/{y}.png,https://allmaps.xyz/maps/ab0217cb106e2d40/tiles.json,https://annotations.allmaps.org/maps/ab0217cb106e2d40
