city,notes,endpoint
Heyuan,"Institutions géographiques, ou Description générale du globe terrestre,... suivi d'un Atlas élémentaire composé de 31 cartes, lequel comprend la carte générale de la France Ancienne & de la Nouvelle... A l'usage du jeune républicain ([1ère éd.]) / Par le Cit[oyen] Lamarche, Géographe, Successeur de Robert de Vaugondy & de Fortin, Ingénieur-Mécanicien pour les Globes & Sphères (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b532488301/manifest.json
Heyuan,La geographie universelle qui fait voir l'estat présent des 4 parties du monde c'est à dire les religions les coutumes & les richesses des peuples les forces & les gouvernements des estats Ce qui est de plus beau & de plus rare dans chaque region & autres particularités pour sçavoir l'histoire & I'interest des princes. On y a joint le traité du globe Par P. Du-Val geographe ordinaire du Roy. Premiere partie (Bibliothèque nationale de France (BnF) / Gallica),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k8726671v/manifest.json
Heyuan,"La Cosmographie universelle de tout le monde en laquelle, suivant les auteurs plus dignes de foy, sont au vray descriptes toutes les parties habitables & non habitables de la terre et de la mer, leurs assiettes & choses qu'elles produisent: puis la description & peincture topographique des régions, la différence de l'air de chacun pays d'où advient la diversité tant de la complexion des hommes que des figures des bestes brutes. Et encor l'origine, noms ou appellations tant modernes qu'anciennes & description de plusieurs villes, citez & isles avec leurs plantz & pourtraictz & sur tout de la France, non encor iusques à present veus ny imprimez. S'y voyent aussi d'avantage, les origines, accroissemens & changemens des monarchies, empires, royaumes, estatz & republiques: ensemble les moeurs, façons de vivre, loix, coustumes, & religion de tous les peuples & natio[n]s du monde: & la succession des papes, cardinaux, archevesques & evesques, chacun en leur diocese, tant anciens que modernes: Avec plusieurs autres choses, le sommaire desquelles se void en la page suivante auteur en partie Munster, mais beaucoup plus augmentée, ornée & enrichie par François de Belle-Forest, Comingeois, tant de ses recerches [sic], comme de l'aide de plusieurs memoires envoyez de diverses villes de France, par hommes amateurs de l'histoire & de leur patrie Avec trois tables, l'une des plantz & pourtraicts des isles et des villes. La seconde, des tiltres & chapitres. Et la troisiesme, de tous les noms propres & des matières co[m]prises en tout l'oeuvre. Tome 1 (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1505502g/manifest.json
Hohhot,Map of part of Abyssinia from sketches made by the quarter master general's department oo the British expedition (Bibliothèque nationale de France (BnF) / Gallica),https://gallica.bnf.fr/iiif/ark:/12148/btv1b84432728/manifest.json
Hohhot,"VIIe Congrès international de Navigation. Guide-Programme, Plans (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k10924457/manifest.json
Hohhot,"Exposition coloniale internationale. Paris 1931. Indochine française. Section des sciences. Service météorologique. Atlas / publié sous la direction de E. Bruzon... ; dessiné, héliogravé et imprimé par le Service géographique de l'Indochine (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9633253v/manifest.json
Hohhot,Atlas de statistique agricole : résultats généraux des statistiques agricoles décennales de 1882 et de 1892 / Ministère de l'agriculture. Direction de l'agriculture (Bibliothèque nationale de France (BnF) / Gallica),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k853837t/manifest.json
Hohhot,L'Europe et ses descriptions Par P. Du Val geographe du Roy. Avec privilege de Sa Majesté (Bibliothèque nationale de France (BnF) / Gallica),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4324200/manifest.json
Hohhot,La geographie universelle qui fait voir l'estat présent des 4 parties du monde c'est à dire les religions les coutumes & les richesses des peuples les forces & les gouvernements des estats Ce qui est de plus beau & de plus rare dans chaque region & autres particularités pour sçavoir l'histoire & I'interest des princes. On y a joint le traité du globe Par P. Du-Val geographe ordinaire du Roy. Premiere partie (Bibliothèque nationale de France (BnF) / Gallica),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k8726671v/manifest.json
Hohhot,"Atlas du Cosmos, contenant les cartes géographiques, physiques, thermiques... applicables à tous les ouvrages de sciences physiques et naturelles et particulièrement aux oeuvres d'Alexandre de Humboldt et de François Arago / dressées par M. Vuillemin ; gravées sur acier par M. Jacobs ; sous la direction de M. J.-A. Barral (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9618179r/manifest.json
