city,collection,title,manifest_url
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,"La Cosmographie universelle de tout le monde en laquelle, suivant les auteurs plus dignes de foy, sont au vray descriptes toutes les parties habitables & non habitables de la terre et de la mer, leurs assiettes & choses qu'elles produisent: puis la description & peincture topographique des régions, la différence de l'air de chacun pays d'où advient la diversité tant de la complexion des hommes que des figures des bestes brutes. Et encor l'origine, noms ou appellations tant modernes qu'anciennes & description de plusieurs villes, citez & isles avec leurs plantz & pourtraictz & sur tout de la France, non encor iusques à present veus ny imprimez. S'y voyent aussi d'avantage, les origines, accroissemens & changemens des monarchies, empires, royaumes, estatz & republiques: ensemble les moeurs, façons de vivre, loix, coustumes, & religion de tous les peuples & natio[n]s du monde: & la succession des papes, cardinaux, archevesques & evesques, chacun en leur diocese, tant anciens que modernes: Avec plusieurs autres choses, le sommaire desquelles se void en la page suivante auteur en partie Munster, mais beaucoup plus augmentée, ornée & enrichie par François de Belle-Forest, Comingeois, tant de ses recerches [sic], comme de l'aide de plusieurs memoires envoyez de diverses villes de France, par hommes amateurs de l'histoire & de leur patrie Avec trois tables, l'une des plantz & pourtraicts des isles et des villes. La seconde, des tiltres & chapitres. Et la troisiesme, de tous les noms propres & des matières co[m]prises en tout l'oeuvre. Tome 1",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1505502g/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,Histoire scientifique et militaire de l'expédition française en Egypte : dédiée au Roi. atlas,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k316310r/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,"Atlas céleste comprenant toutes les cartes de l'ancien atlas (3e éd.) / de Ch. Dien ; rectifié, augmenté et enrichi de cartes nouvelles,... par Camille Flammarion,...",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k96135733/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,"Essai d'Atlas statistique de l'Indochine française : Indochine physique, population, administration, finances, agriculture, commerce, industrie / par Henri Brenier, ... ; Gouvernement général de l'Indochine",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1100178q/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,"Nouvel Atlas colonial / par Henri Mager, ,...",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1100234w/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,"Atlas colonial français : colonies, protectorats et pays sous mandat / cartes et texte du Commandant P. Pollacchi",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1100182m/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,"Nouvel atlas des colonies françaises : dressé par ordre de l'administration des colonies / par Paul Pelet, ...",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5790223v/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,"Atlas des colonies françaises : 27 planches de cartes, texte explicatif, index alphabétique / dressé par ordre du Ministère des Colonies par Paul Pelet",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k11001831/manifest.json
Hohhot,Internet Archive,"CIA Reading Room cia-rdp81-01043r004700170001-7: (SANITIZED)UNCLASSIFIED CHINESE PUBLICATION ENTITLED, ""NATIONAL RAILROAD PASSENGER TRAIN TIME TABLE,"" PEOPLE'S RAILWAY PUBLISHING HOUSE, MAY 1958(SANITIZED)",https://iiif.archivelab.org/iiif/cia-readingroom-document-cia-rdp81-01043r004700170001-7/manifest.json
Hohhot,Internet Archive,CIA Reading Room cia-rdp80-00809a000700070240-6: COASTAL ROADS OF KWANGTUNG AND HAINAN BEING DESTROYED,https://iiif.archivelab.org/iiif/cia-readingroom-document-cia-rdp80-00809a000700070240-6/manifest.json
Hohhot,Internet Archive,CIA Reading Room cia-rdp94-00798r000200150026-1: SEOUL BUREAU EMERGENCY COVERAGE PLAN,https://iiif.archivelab.org/iiif/cia-readingroom-document-cia-rdp94-00798r000200150026-1/manifest.json
Hohhot,Internet Archive,"Response of C:N:P in the plant-soil system and stoichiometric homeostasis of Nitraria tangutorum leaves in the oasis-desert ecotone, Northwest China",https://iiif.archivelab.org/iiif/ChinaXiv-202110.00020V1/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,[Calques et croquis manuscrits du cartographe J. Hansen avec des corrections de F. Grenard pour servir à l'établissement de l'Atlas accompagnant l'ouvrage : Mission scientifique dans la Haute Asie 1890-1895 / par J. -L.Dutreuil de Rhins et F. Grenard],https://gallica.bnf.fr/iiif/ark:/12148/btv1b53187474k/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,"Atlas colonial français : colonies, protectorats et pays sous mandat / cartes et texte du Commandant P. Pollacchi",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1100182m/manifest.json
